layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,2053489,0.08999317746527982
_orig_mod.encoder.graph_layer_1.bias,1433,0.0
_orig_mod.encoder.graph_layer_2.weight,91712,0.029439986043265875
_orig_mod.encoder.graph_layer_2.bias,64,0.0
_orig_mod.encoder.decoder_1.weight,2053489,0.0001460928205605192
_orig_mod.encoder.decoder_1.bias,1433,0.0
_orig_mod.encoder.decoder_2.weight,2053489,0.008619476413070632
_orig_mod.encoder.decoder_2.bias,1433,0.0
_orig_mod.encoder.linear.weight,448,0.0
_orig_mod.encoder.linear.bias,7,0.0
