layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,2053489,0.009349940515873229
_orig_mod.encoder.graph_layer_1.bias,1433,0.0
_orig_mod.encoder.graph_layer_2.weight,183424,0.0
_orig_mod.encoder.graph_layer_2.bias,128,0.0
_orig_mod.encoder.decoder_1.weight,2053489,0.008375988378803101
_orig_mod.encoder.decoder_1.bias,1433,0.0
_orig_mod.encoder.decoder_2.weight,2053489,0.11380630721664446
_orig_mod.encoder.decoder_2.bias,1433,0.0
_orig_mod.encoder.linear.weight,896,0.0
_orig_mod.encoder.linear.bias,7,0.0
